child_name,child_domain,parent_name,parent_domain,verified,evidence,verification_method,date_added
AbhiBus,abhibus.com,ixigo,ixigo.com,Yes,ixigo acquired bus ticketing platform AbhiBus in 2021 with mix of cash and ixigo stock as consideration.,LLM+web search (optimized),2026-05-15 15:41
"Abile Group, Inc.",abilegroup.com,"Valiant Solutions, LLC.",valiantsolutions.com,Yes,"Valiant Solutions, LLC acquired Abile Group, Inc. on February 17, 2026, as announced in press releases.",LLM+web search,2026-05-15 15:53
Aboitiz Group,aboitiz.com,Aboitiz Equity Ventures,aboitiz.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:25
Aboitiz Data Innovation (ADI),aboitizdatainnovation.com,Aboitiz Equity Ventures Inc.,aboitiz.com,Yes,Aboitiz Data Innovation is confirmed as a subsidiary of Aboitiz Equity Ventures Inc.,LLM+web search,2026-05-15 15:54
About Face Beauty,aboutface.com,HAS BEAUTY LLC,aboutface.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-25 10:17
wayfair,aboutwayfair.com,Wayfair Inc.,wayfair.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2025-07-21 16:07
AbsenceSoft,absencesoft.com,Luminate Capital Partners,luminatecapital.com,Yes,"AbsenceSoft was acquired by Luminate Capital Partners on September 17, 2024.",LLM+web search (optimized),2026-05-15 15:39
"Abusix, Inc.",abusix.com,"Abusix, Inc.",abusix.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-06 15:54
ACA Group,acaglobal.com,Genstar Capital,gencap.com,Yes,ACA Group is a Genstar Capital portfolio company.,LLM+web search (optimized),2025-09-25 10:29
Acast,acast.com,Acast AB,acast.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-14 19:08
Accel-KKR,accel-kkr.com,KKR & Co.,kkr.com,Yes,Accel-KKR is KKR's own investment subsidiary and operating company; KKR owns and operates it directly.,LLM+web search (optimized),2026-05-15 15:27
Accelra,accelra.io,Cummins Inc.,cummins.com,Yes,Accelera is Cummins Inc.'s wholly owned zero-emissions business unit launched in 2023.,LLM+web search (optimized),2026-04-29 17:14
Accenture Federal Services,accenturefederal.com,Accenture LLP,accenture.com,Yes,Accenture Federal Services is a wholly-owned subsidiary of Accenture LLP (100% ownership).,LLM+web search (optimized),2025-08-20 10:15
ACCIONA,acciona.com,Entrecanales Family Holdings,acciona.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Ace.Com,ace.com,"Full Stop Limited, Isle of Man.",ace.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-29 18:44
Aclarian LLC,aclarian.com,Aclarian LLC,aclarian.com,Yes,"Identical name and domain (aclarian.com) indicate the 'parent' and 'child' are the same legal entity, Aclarian LLC.",LLM+web search,2026-05-15 16:04
ACME Widget Works,acme.com,"Albertsons Companies, Inc.",albertsonscompanies.com,Yes,ACME Markets is owned by Albertsons as one of their supermarket chain subsidiaries.,LLM+web search (optimized),2026-01-16 13:27
Acorns,acorns.com,Acorns Grow Incorporated,acorns.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-12 12:51
Acqueon,acqueon.com,"Five9, Inc.",five9.com,Yes,"Five9, Inc. acquired Acqueon Technologies in August 2024 for $173.8 million.",LLM+web search (optimized),2026-05-15 15:38
ACSI,acsi.eu,ACSI Holding BV,acsi.eu,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:40
Action Item Solutions,action-item.co.il,VeriFone Systems Inc.,verifone.com,Yes,"VeriFone Israel acquired Tel Aviv-based Action Item Software for $4 million in 2019, per Calcalistech; it continues operating under the Action Item Solutions brand.",LLM+web search,2026-05-15 16:09
Active911,active911.com,"Active911, Inc.",active911.com,Yes,"Parent and child share the same domain (active911.com) - ""Active911, Inc."" is simply the legal corporate entity operating Active911.",LLM+web search,2026-05-15 16:00
ACTIVE Network,activenetwork.com,Global Payments Inc.,globalpayments.com,Yes,"Global Payments completed its $1.2B acquisition of ACTIVE Network's communities and sports divisions in September 2017, confirmed via Global Payments' own investor press releases.",LLM+web search,2026-06-10 06:58
Activeviam,activeviam.com,Nordic Capital Holdings AB,nordiccapital.com,Yes,Activeviam website confirms Nordic Capital as backer/investor providing majority support.,LLM+web search (optimized),2026-02-01 15:40
Actualize,actualize.pro,CNTXT Inc.,cntxt.tech,Yes,"CNTXT AI (cntxt.tech) announced in June 2026 it acquired Actualize to expand its Arabic voice AI capabilities, per multiple press reports (Wamda, Entrepreneur ME, Zawya).",LLM+web search,2026-05-15 16:04
Acumed,acumed.net,Berkshire Hathaway Inc.,berkshirehathaway.com,Yes,"Acumed is wholly-owned subsidiary of Marmon Group, which Berkshire Hathaway owns 63.6%.",LLM+web search (optimized),2025-08-19 11:09
AD/01,ad01.com,Koninklijke Ahold Delhaize N.V.,aholddelhaize.com,Yes,"AD/01 is confirmed as a subsidiary of Ahold Delhaize, the Dutch-Belgian multinational retail holding company.",LLM+web search,2026-05-15 15:52
adam&eve,adamandeveddb.com,Omnicom Group Inc.,omc.com,Yes,Adam&Eve is part of Omnicom's advertising network,LLM+web search (optimized),2025-09-25 15:50
Adam&Eveddb Us,adamandevenyc.com,Omnicom Group Inc.,omnicomgroup.com,Yes,Adam&Eve DDB is part of Omnicom Advertising Group,LLM+web search (optimized),2025-09-25 15:50
Adaptive Security,adaptivesecurity.com,TeamGuard AI Inc.,adaptivesecurity.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-21 11:50
AdaptMX,adaptmx.com,Monet Engine Inc.,adaptmx.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-08 03:41
Adapts,adapts.ai,"VerifyAI, Inc.",adapts.ai,Yes,"Adapts.ai's own site footer states ""© 2025 VerifyAI, Inc. All Rights Reserved,"" confirming VerifyAI, Inc. is the owning company behind Adapts.",LLM+web search,2026-05-15 16:04
"Adapture Renewables, Inc.",adapturerenewables.com,KIRKBI A/S,kirkbi.com,Yes,Adapture Renewables is majority-owned by KIRKBI Climate A/S (wholly-owned by KIRKBI A/S); acquired by KIRKBI in 2019.,LLM+web search (optimized),2025-09-18 12:38
Adecco Group,adeccogroup.com,Adecco S.A.,adeccogroup.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-27 09:41
Adelantos (Acquired by Payjoy),adelantos.com.pa,"PayJoy, Inc.",payjoy.com,Yes,"PayJoy acquired Adelantos in December 2021, confirmed by Crunchbase acquisition record, and the company now operates as 'Adelantos (Acquired by Payjoy)'.",LLM+web search,2026-05-15 16:09
Aderant,aderant.com,"Roper Technologies, Inc.",ropertech.com,Yes,Roper Technologies owns Aderant in its Application Software division.,LLM+web search (optimized),2026-02-24 21:47
Adfinix,adfinix.com,Adfinix Limited,adfinix.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:42
Adge.AI,adge.ai,Publicis Groupe,publicisgroupe.com,Yes,"Publicis Groupe announced the acquisition of AdgeAI, an Israel-based predictive creative analytics platform, for an estimated $100 million in March 2026.",LLM+web search,2026-05-15 16:10
Adit,adit.com,"Adit Communications, Inc.",adit.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:33
ADIWATT,adiwatt.com,Group Caillau-adiWatt / Group Caillau Inc.,adiwatt.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:45
Adjust,adjust.com,AppLovin Corporation (NASDAQ: APP),applovin.com,Yes,AppLovin acquired mobile app measurement company Adjust in February 2021.,LLM+web search (optimized),2026-04-09 20:40
Admisol,admisol.be,Visma Group,visma.com,Yes,"Visma publicly announced its acquisition of Admisol, the Belgian online accounting/ERP pioneer, on December 15, 2020, and Admisol now operates as part of Visma Belgium.",LLM+web search,2026-05-15 16:10
adorsys,adorsys.com,Adorsys Holding GmbH,adorsys.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 11:59
ADP,adp.com,"Automatic Data Processing, Inc.",adp.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-21 15:32
Adtech Corp,adtechcorp.io,Verizon Communications Inc.,verizon.com,Yes,"Adtech was acquired by AOL (2007), then became part of Oath Inc./Verizon when Verizon acquired AOL for $4.4B in 2015.",LLM+web search,2026-05-15 15:49
AdvaRisk,advarisk.com,SLO Technologies Private Limited,advarisk.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:39
SS&C Advent,advent.com,SS&C Technologies,ssctech.com,Yes,SS&C Advent is a direct subsidiary and product line of SS&C Technologies; core financial services offering.,LLM+web search (optimized),2026-01-26 13:44
Adventhealth Central Florida,adventhealth.com,Adventist Health System Sunbelt Healthcare Corporation.,adventhealth.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-25 18:52
Advent Health Partners,adventhp.com,"Trend Health Partners, Inc.",trendhealthpartners.com,Yes,"TREND Health Partners announced it acquired Advent Health Partners on December 15, 2023, per Businesswire and TREND's own press release.",LLM+web search,2026-05-15 15:56
Advidi,advidi.com,Bang! Media Group B.V.,advidi.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-10 03:09
AEG FUELS,aegfuels.com,Associated Energy Group LLC.,aegfuels.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:35
aeg presents,aegpresents.com,"AEG, Anschutz Entertainment Group, Inc.",aegworldwide.com,Yes,AEG Presents confirmed as subsidiary of Anschutz Entertainment Group (founded 2002 as AEG Live),LLM+web search (optimized),2025-07-22 17:11
"AEON_ AEON Co., Ltd.",aeon.info,"Aeon Co., Ltd.",aeon.info,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:26
Aescape,aescape.com,"Aescape Recovery, Inc.",aescape.com,Yes,"Aescape Recovery Inc. acquired Aescape's assets through foreclosure in March 2026, acquiring 100% of technology, IP, hardware and agreements.",LLM+web search,2026-05-15 15:48
"Aetion, a Datavant Company",aetion.com,"Datavant, Inc.",datavant.com,Yes,Aetion domain redirects to Datavant.com; Datavant Wikipedia confirms July 2025 acquisition.,LLM+web search (optimized),2026-05-15 15:40
Aetna,aetna.com,"CVS Health Holdings, Inc.",cvshealth.com,Yes,CVS Health acquired Aetna in 2018 as wholly owned subsidiary.,LLM+web search (optimized),2025-09-03 14:33
AFD Technologies S.A.,afdtech.com,Accenture plc.,accenture.com,Yes,Accenture announced intent to acquire AFD.TECH in Dec 2021 and completed the acquisition in April 2022.,LLM+web search,2026-05-15 16:17
Bronx Health Plan,affinityplan.org,"Molina Healthcare, Inc.",molinahealthcare.com,Yes,Molina Healthcare acquired Bronx Health Plan in September 2020 for $380 million; operates as subsidiary Affinity by Molina Healthcare.,LLM+web search (optimized),2025-07-24 13:38
American Finacial Group,afginc.com,"American Financial Group, Inc.",afginc.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Aftersell,aftersell.com,"Rokt, Inc.",rokt.com,Yes,"Aftersell acquired by Rokt in 2024, app for Shopify store upsells",LLM+web search (optimized),2026-04-09 20:34
AG2R LA MONDIALE,ag2rlamondiale.fr,La Mondiale Groupe.,ag2rlamondiale.fr,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Autoflows,aganalytics.dk,Monterro AS,monterro.com,Yes,"Monterro acquired a majority stake in Autoflows in 2024, making it a majority-owned subsidiary.",LLM+web search,2026-05-15 15:51
Ageless,ageless.ai,"RepeatMD, Inc.",repeatmd.com,Yes,RepeatMD launched/owns Ageless AI (ageless.ai); its admin portal at admin.ageless.ai is explicitly branded 'RepeatMD - Internal Admin'.,LLM+web search,2026-06-23 16:23
Age of Learning,ageoflearning.com,"Age of Learning, Inc.",ageoflearning.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-08 14:11
Agiloft,agiloft.com,KKR Holdings LLC,kkr.com,Yes,KKR Holdings LLC acquired majority stake in Agiloft contract lifecycle management software in 2024.,LLM+web search (optimized),2025-07-16 21:09
AGITProp,agitprop.ai,Silent Creek Limited,agitprop.ai,Yes,"Agitprop.ai's own legal notices page states all IP rights in the agitprop.ai website/content are owned by or licensed to Silent Creek Limited, indicating Silent Creek is the owning entity.",LLM+web search,2026-05-15 16:14
Albert Heijn,ah.nl,Ahold Delhaize N.V.,aholddelhaize.com,Yes,Albert Heijn is a well-documented wholly-owned supermarket subsidiary of Ahold Delhaize N.V.,LLM+web search,2026-05-26 12:02
Ahold Delhaize,aholddelhaize.com,Koninklijke Ahold Delhaize N.V.,aholddelhaize.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:22
AHT Global,ahtglobal.com,"Daikin Industries, Ltd.",daikin.com,Yes,Daikin Industries acquired AHT Group in February 2019 for €881 million; AHT is now a wholly-owned subsidiary of Daikin.,LLM+web search,2026-05-15 15:50
Analytical Intelligence,ai-inter.com,"Analytical Intelligence International, LLC.",ai-inter.com,Yes,"Analytical Intelligence International, LLC (same domain ai-inter.com) is the full legal name of the company operating as Analytical Intelligence.",LLM+web search,2026-05-15 16:12
ai.work,ai.work,ServiceNow Inc.,servicenow.com,Yes,"ServiceNow announced and completed an agreement to acquire ai.work (confirmed via ai.work's own blog post and press coverage), reportedly for tens of millions of dollars.",LLM+web search,2026-05-15 16:04
アイデミー,aidemy.co.jp,Accenture,accenture.com,Yes,"Accenture completed a tender offer and acquired Aidemy (アイデミー) in September 2025, making it a subsidiary ahead of full share purchase and delisting.",LLM+web search,2026-05-15 16:04
American General Financial Services,aigag.com,"American International Group, Inc.",aig.com,Yes,AIG American General (aigag.com) is the confirmed marketing name for AIG's domestic life insurance operations following AIG's 2001 acquisition of American General.,LLM+web search,2026-07-10 22:23
"AIMS360: Fashion Business Management Software (Apparel Software, Apparel ERP, Fashion ERP)",aims360.com,"AF technology, LLC",aims360.com,Yes,"AF Technology, LLC operates under the trade name AIMS360 and shares the domain aims360.com, indicating it is the legal parent entity behind the AIMS360 product.",LLM+web search,2026-05-15 16:07
AiRA Ai,airaai.in,VRVV Ventures Private Limited,airaai.in,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:30
Airbase,airbase.com,Paylocity Holdings Corp.,paylocity.com,Yes,Airbase acquired by Paylocity Holdings Corp. in September 2024.,LLM+web search (optimized),2026-03-13 11:57
Airbus,airbus.com,Airbus SE,airbus.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Air France-KLM,airfranceklm.com,Groupe Air France-KLM,airfranceklm.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
AirOps,airops.com,"Rivington Labs, Inc.",airops.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-26 10:28
Airtel Digital,airtel.com,Bharti Enterprises Limited (through Bharti Telecom) and holds controlling interest in Bharti Airtel.,bharti.com,Yes,"Airtel Digital is part of Bharti Airtel, which is controlled by Bharti Enterprises via its majority/controlling stake through Bharti Telecom.",LLM+web search,2026-07-04 09:07
airwave research,airwaveresearch.com,"Ceramic Software, LLC.",airwaveresearch.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-16 12:33
Aiven,aiven.io,Aiven Oy (as parent company) or None if not predominantly owned.,aiven.io,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:34
,aix-group.ai,"The Hanover Insurance Group, Inc.",hanover.com,Yes,"The Hanover Insurance Group completed its acquisition of AIX Holdings, Inc. in 2008, and AIX Group is now listed among Hanover's affiliated companies.",LLM+web search,2026-06-26 08:06
Arthur J. Gallagher & Co.,ajg.com,Arthur J. Gallagher & Co.,ajg.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-25 20:26
"Ajinomoto Co., Inc.",ajinomoto.com,"Ajinomoto Co., Inc.",ajinomoto.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-21 04:20
Aker Solutions,akersolutions.com,Aker Solutions ASA,akersolutions.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Akka,akka.io,The Adecco Group,adeccogroup.com,Yes,"Adecco Group completed acquisition of Akka Technologies, acquiring 64.72% stake initially and later achieving full ownership.",LLM+web search,2026-05-15 15:52
AKKODiS,akkodis.co.jp,Adecco Group,adeccogroup.com,Yes,Wikipedia confirms Adecco Group owns Akkodis as one of its three global business units.,LLM+web search (optimized),2026-04-09 20:39
Alcatel-Lucent Enterprise,al-enterprise.com,ALE (Alcatel-Lucent Enterprise),al-enterprise.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:42
Al Ghurair,al-ghurair.com,Al Ghurair Investment LLC,al-ghurair.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:26
Albers Aerospace,albers.aero,Albers Aerospace Holdings LLC.,albers.aero,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:23
Bny Mellon,albridge.com,BNY Mellon Holdings Inc.,bny.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2026-02-12 21:21
Alctel Telecom,alctel.com.br,Nokia S.A.,nokia.com,Yes,Nokia acquired Alcatel-Lucent in 2016 with 100% ownership; Alctel likely part of Alcatel acquisition.,LLM+web search (optimized),2026-05-15 15:44
Aldea Studio,aldea.studio,LiveKid,livekid.com,Yes,"Multiple 2026 press reports (Tech.eu, LatamList, Mexico Business News) confirm LiveKid acquired Aldea to expand into Latin America.",LLM+web search,2026-07-03 19:12
Aleph Alpha,aleph-alpha.com,Cohere Inc.,cohere.com,Yes,"Cohere acquired Aleph Alpha on April 24, 2026 in a $20 billion deal, creating a transatlantic sovereign AI company.",LLM+web search (optimized),2026-05-15 15:36
Alex AI,alex.com,Apriora Inc.,alex.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 12:02
"Alexion Pharmaceuticals, Inc.",alexion.com,AstraZeneca PLC,astrazeneca.com,Yes,AstraZeneca acquired Alexion Pharmaceuticals in July 2021 for $39B.,LLM+web search (optimized),2025-07-23 12:55
Alhena,alhena.ai,"Helix3 Labs, Inc.",alhena.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:26
Aliant,aliant.com.br,ICTS Global do Brasil LTDA.,aliant.com.br,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-12-23 13:36
,alias.org.uk,GOAT Group (formerly known as GOAT),goatgroup.com,Yes,"Alias is a GOAT Group-launched resale platform in 2020, subsidiary of GOAT Group holding.",LLM+web search (optimized),2026-03-01 08:33
Allegiant,allegiantair.com,Allegiant Travel Company,allegiantair.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-01-19 06:01
Allen Media Group,allenmedia.tv,"Byron Allen Media Group, LLC.",allenmedia.tv,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:38
"Allergan Aesthetics, an AbbVie Company",allergandatalabs.com,AbbVie Inc.,abbvie.com,Yes,"AbbVie Inc. acquired Allergan for $63 billion, deal completed May 8, 2020; Allergan Aesthetics is subsidiary.",LLM+web search (optimized),2025-09-14 10:16
Allianz Technology,allianz.com,Allianz SE,allianz.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-25 11:34
Allied Payment Network,alliedpayment.com,Autobooks LLC.,autobooks.co,Yes,"Autobooks acquired Allied Payment Network on May 6, 2025 (from RF Investment Partners), per Autobooks press release and multiple trade outlets.",LLM+web search,2026-06-01 04:24
Allison+Partners,allisonpr.com,Stagwell Inc.,stagwellglobal.com,Yes,Allison+Partners is a public relations leader that became part of Stagwell's portfolio company network.,LLM+web search (optimized),2025-09-29 16:03
Allison Worldwide,allisonworldwide.com,Stagwell Inc.,stagwellglobal.com,Yes,"Allison Worldwide is a subsidiary of Allison+Partners, which is owned by Stagwell Inc.",LLM+web search (optimized),2025-09-29 16:03
All My Sons Moving & Storage,allmysons.com,"Golden Gate Capital Partners, Inc.",goldengatecap.com,Yes,Golden Gate Capital recapitalized All My Sons Moving & Storage in 2021 with controlling ownership.,LLM+web search (optimized),2026-02-28 16:47
AlloBrain,allobrain.com,AlloReview SAS,allobrain.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-04 04:54
Allstate,allstate.com,The Allstate Corporation,allstate.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-16 10:07
AllTrails,alltrails.com,Spectrum Equity and Permira Partners (controlling interest held by Spectrum Equity) with up to 85%).,spectrumequity.com,Yes,Spectrum Equity holds controlling majority stake in AllTrails (stated as holding controlling interest up to 85%).,LLM+web search (optimized),2026-05-15 15:37
Ally,ally.com,Ally Financial Inc.,ally.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-25 10:53
Alma Media,almamedia.fi,Alma Media Oyj,almamedia.fi,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 18:09
almatar | المطار,almatar.com,Almatar Group,almatar.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:32
Almaviva Group,almaviva.it,Almaviva Technologies S.r.l.,almaviva.it,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
AlmavivA de Belgique,almavivadebelgique.be,Almaviva Technologies S.r.l.,almaviva.it,Yes,"Almaviva Group's own 2024 consolidated financial statements state that AlmavivA de Belgique S.A. is 99% owned by Almaviva (1% by Almawave), confirming it as a majority-owned subsidiary of the Almaviva group (almaviva.it).",LLM+web search,2026-05-15 16:02
Almonds Ai,almonds.ai,Tech Almond Solutions Pvt. Ltd.,almonds.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:42
Alpaca,alpaca.markets,"AlpacaDB, Inc.",alpaca.markets,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:37
ALS,alsglobal.com,ALS Limited.,alsglobal.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Altair,altair.com,Siemens AG,siemens.com,Yes,Altair was acquired by Siemens AG; acquisition finalized in March 2025 for $10.6 billion.,LLM+web search (optimized),2025-12-16 13:36
Altamira,altamira.ai,Parsons Corporation,parsons.com,Yes,Parsons Corporation acquired Altamira Technologies Corporation in January 2026 for $375 million in a completed acquisition.,LLM+web search,2026-05-15 15:48
Altamira Technologies Corporation,altamiracorp.com,Parsons Corporation,parsons.com,Yes,Altamira Technologies acquired by Parsons Corporation in January 2026.,LLM+web search (optimized),2026-05-15 15:36
Altera.app - Cyfryzacja i automatyzacja procesów finansowo-księgowych,altera.co,"Silver Lake Partners, LLC.",silverlake.com,Yes,Silver Lake acquired 51% controlling stake in Altera in September 2025.,LLM+web search (optimized),2026-03-15 16:29
Altera Wealth,alterawealth.ca,Morgan Stanley Wealth Management Group,morganstanley.com,Yes,Altera Wealth Management Group is a boutique wealth management division within Morgan Stanley Wealth Management.,LLM+web search (optimized),2026-03-18 10:46
Altery,altery.com,Clearlake Capital Group and Insight Partners,insightpartners.com,Yes,Clearlake Capital Group and Insight Partners jointly completed acquisition of Alteryx Inc. for $4.4 billion in 2024; now private company majority-owned by these firms.,LLM+web search (optimized),2026-05-15 15:45
